"Counting","SA2 (UR)","INCP Total Personal Income (weekly)","Count"
"Persons Place of Usual Residence","Gatton","$3,000 or more ($156,000 or more)",39
"Persons Place of Usual Residence","Gatton","Not stated",587
"Persons Place of Usual Residence","Gatton","Not applicable",1259
"Persons Place of Usual Residence","Gatton","Total",7431
"Persons Place of Usual Residence","Gowrie (Qld)","Negative income",13
"Persons Place of Usual Residence","Gowrie (Qld)","Nil income",385
"Persons Place of Usual Residence","Gowrie (Qld)","$1-$149 ($1-$7,799)",236
"Persons Place of Usual Residence","Gowrie (Qld)","$150-$299 ($7,800-$15,599)",316
"Persons Place of Usual Residence","Gowrie (Qld)","$300-$399 ($15,600-$20,799)",379
"Persons Place of Usual Residence","Gowrie (Qld)","$400-$499 ($20,800-$25,999)",335
"Persons Place of Usual Residence","Gowrie (Qld)","$500-$649 ($26,000-$33,799)",397
"Persons Place of Usual Residence","Gowrie (Qld)","$650-$799 ($33,800-$41,599)",406
"Persons Place of Usual Residence","Gowrie (Qld)","$800-$999 ($41,600-$51,999)",457
"Persons Place of Usual Residence","Gowrie (Qld)","$1,000-$1,249 ($52,000-$64,999)",507
"Persons Place of Usual Residence","Gowrie (Qld)","$1,250-$1,499 ($65,000-$77,999)",309
"Persons Place of Usual Residence","Gowrie (Qld)","$1,500-$1,749 ($78,000-$90,999)",266
"Persons Place of Usual Residence","Gowrie (Qld)","$1,750-$1,999 ($91,000-$103,999)",172
"Persons Place of Usual Residence","Gowrie (Qld)","$2,000-$2,999 ($104,000-$155,999)",204
"Persons Place of Usual Residence","Gowrie (Qld)","$3,000 or more ($156,000 or more)",47
"Persons Place of Usual Residence","Gowrie (Qld)","Not stated",313
"Persons Place of Usual Residence","Gowrie (Qld)","Not applicable",1667
"Persons Place of Usual Residence","Gowrie (Qld)","Total",6413
"Persons Place of Usual Residence","Highfields","Negative income",30
"Persons Place of Usual Residence","Highfields","Nil income",779
"Persons Place of Usual Residence","Highfields","$1-$149 ($1-$7,799)",485
"Persons Place of Usual Residence","Highfields","$150-$299 ($7,800-$15,599)",609
"Persons Place of Usual Residence","Highfields","$300-$399 ($15,600-$20,799)",789
"Persons Place of Usual Residence","Highfields","$400-$499 ($20,800-$25,999)",735
"Persons Place of Usual Residence","Highfields","$500-$649 ($26,000-$33,799)",792
"Persons Place of Usual Residence","Highfields","$650-$799 ($33,800-$41,599)",757
"Persons Place of Usual Residence","Highfields","$800-$999 ($41,600-$51,999)",752
"Persons Place of Usual Residence","Highfields","$1,000-$1,249 ($52,000-$64,999)",898
"Persons Place of Usual Residence","Highfields","$1,250-$1,499 ($65,000-$77,999)",717
"Persons Place of Usual Residence","Highfields","$1,500-$1,749 ($78,000-$90,999)",715
"Persons Place of Usual Residence","Highfields","$1,750-$1,999 ($91,000-$103,999)",462
"Persons Place of Usual Residence","Highfields","$2,000-$2,999 ($104,000-$155,999)",662
"Persons Place of Usual Residence","Highfields","$3,000 or more ($156,000 or more)",249
"Persons Place of Usual Residence","Highfields","Not stated",634
"Persons Place of Usual Residence","Highfields","Not applicable",3113
"Persons Place of Usual Residence","Highfields","Total",13177
"Persons Place of Usual Residence","Lockyer Valley - West","Negative income",43
"Persons Place of Usual Residence","Lockyer Valley - West","Nil income",644
"Persons Place of Usual Residence","Lockyer Valley - West","$1-$149 ($1-$7,799)",416
"Persons Place of Usual Residence","Lockyer Valley - West","$150-$299 ($7,800-$15,599)",672
"Persons Place of Usual Residence","Lockyer Valley - West","$300-$399 ($15,600-$20,799)",916
"Persons Place of Usual Residence","Lockyer Valley - West","$400-$499 ($20,800-$25,999)",759
"Persons Place of Usual Residence","Lockyer Valley - West","$500-$649 ($26,000-$33,799)",752
"Persons Place of Usual Residence","Lockyer Valley - West","$650-$799 ($33,800-$41,599)",809
"Persons Place of Usual Residence","Lockyer Valley - West","$800-$999 ($41,600-$51,999)",807
"Persons Place of Usual Residence","Lockyer Valley - West","$1,000-$1,249 ($52,000-$64,999)",786
"Persons Place of Usual Residence","Lockyer Valley - West","$1,250-$1,499 ($65,000-$77,999)",456
"Persons Place of Usual Residence","Lockyer Valley - West","$1,500-$1,749 ($78,000-$90,999)",409
"Persons Place of Usual Residence","Lockyer Valley - West","$1,750-$1,999 ($91,000-$103,999)",231
"Persons Place of Usual Residence","Lockyer Valley - West","$2,000-$2,999 ($104,000-$155,999)",290
"Persons Place of Usual Residence","Lockyer Valley - West","$3,000 or more ($156,000 or more)",123
"Persons Place of Usual Residence","Lockyer Valley - West","Not stated",884
"Persons Place of Usual Residence","Lockyer Valley - West","Not applicable",2359
"Persons Place of Usual Residence","Lockyer Valley - West","Total",11361
"Persons Place of Usual Residence","Middle Ridge","Negative income",21
"Persons Place of Usual Residence","Middle Ridge","Nil income",429
"Persons Place of Usual Residence","Middle Ridge","$1-$149 ($1-$7,799)",254
"Persons Place of Usual Residence","Middle Ridge","$150-$299 ($7,800-$15,599)",306
"Persons Place of Usual Residence","Middle Ridge","$300-$399 ($15,600-$20,799)",354
"Persons Place of Usual Residence","Middle Ridge","$400-$499 ($20,800-$25,999)",331
"Persons Place of Usual Residence","Middle Ridge","$500-$649 ($26,000-$33,799)",374
"Persons Place of Usual Residence","Middle Ridge","$650-$799 ($33,800-$41,599)",396
"Persons Place of Usual Residence","Middle Ridge","$800-$999 ($41,600-$51,999)",405
"Persons Place of Usual Residence","Middle Ridge","$1,000-$1,249 ($52,000-$64,999)",458
"Persons Place of Usual Residence","Middle Ridge","$1,250-$1,499 ($65,000-$77,999)",356
"Persons Place of Usual Residence","Middle Ridge","$1,500-$1,749 ($78,000-$90,999)",370
"Persons Place of Usual Residence","Middle Ridge","$1,750-$1,999 ($91,000-$103,999)",268
"Persons Place of Usual Residence","Middle Ridge","$2,000-$2,999 ($104,000-$155,999)",385
"Persons Place of Usual Residence","Middle Ridge","$3,000 or more ($156,000 or more)",291
"Persons Place of Usual Residence","Middle Ridge","Not stated",618
"Persons Place of Usual Residence","Middle Ridge","Not applicable",1522
"Persons Place of Usual Residence","Middle Ridge","Total",7142
"Persons Place of Usual Residence","Newtown (Qld)","Negative income",39
"Persons Place of Usual Residence","Newtown (Qld)","Nil income",557
"Persons Place of Usual Residence","Newtown (Qld)","$1-$149 ($1-$7,799)",289
"Persons Place of Usual Residence","Newtown (Qld)","$150-$299 ($7,800-$15,599)",548
"Persons Place of Usual Residence","Newtown (Qld)","$300-$399 ($15,600-$20,799)",809
"Persons Place of Usual Residence","Newtown (Qld)","$400-$499 ($20,800-$25,999)",821
"Persons Place of Usual Residence","Newtown (Qld)","$500-$649 ($26,000-$33,799)",714
"Persons Place of Usual Residence","Newtown (Qld)","$650-$799 ($33,800-$41,599)",787
"Persons Place of Usual Residence","Newtown (Qld)","$800-$999 ($41,600-$51,999)",809
"Persons Place of Usual Residence","Newtown (Qld)","$1,000-$1,249 ($52,000-$64,999)",648
"Persons Place of Usual Residence","Newtown (Qld)","$1,250-$1,499 ($65,000-$77,999)",370
"Persons Place of Usual Residence","Newtown (Qld)","$1,500-$1,749 ($78,000-$90,999)",269
"Persons Place of Usual Residence","Newtown (Qld)","$1,750-$1,999 ($91,000-$103,999)",178
"Persons Place of Usual Residence","Newtown (Qld)","$2,000-$2,999 ($104,000-$155,999)",170
"Persons Place of Usual Residence","Newtown (Qld)","$3,000 or more ($156,000 or more)",56
"Persons Place of Usual Residence","Newtown (Qld)","Not stated",763
"Persons Place of Usual Residence","Newtown (Qld)","Not applicable",1771
"Persons Place of Usual Residence","Newtown (Qld)","Total",9596
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","Negative income",18
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","Nil income",324
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$1-$149 ($1-$7,799)",192
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$150-$299 ($7,800-$15,599)",389
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$300-$399 ($15,600-$20,799)",465
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$400-$499 ($20,800-$25,999)",454
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$500-$649 ($26,000-$33,799)",411
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$650-$799 ($33,800-$41,599)",439
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$800-$999 ($41,600-$51,999)",408
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$1,000-$1,249 ($52,000-$64,999)",406
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$1,250-$1,499 ($65,000-$77,999)",242
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$1,500-$1,749 ($78,000-$90,999)",186
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$1,750-$1,999 ($91,000-$103,999)",107
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$2,000-$2,999 ($104,000-$155,999)",125
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","$3,000 or more ($156,000 or more)",51
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","Not stated",492
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","Not applicable",1034
"Persons Place of Usual Residence","North Toowoomba - Harlaxton","Total",5738
"Persons Place of Usual Residence","Rangeville","Negative income",20
"Persons Place of Usual Residence","Rangeville","Nil income",436
"Persons Place of Usual Residence","Rangeville","$1-$149 ($1-$7,799)",326
"Persons Place of Usual Residence","Rangeville","$150-$299 ($7,800-$15,599)",378
"Persons Place of Usual Residence","Rangeville","$300-$399 ($15,600-$20,799)",501
"Persons Place of Usual Residence","Rangeville","$400-$499 ($20,800-$25,999)",576
"Persons Place of Usual Residence","Rangeville","$500-$649 ($26,000-$33,799)",559
"Persons Place of Usual Residence","Rangeville","$650-$799 ($33,800-$41,599)",549
"Persons Place of Usual Residence","Rangeville","$800-$999 ($41,600-$51,999)",495
"Persons Place of Usual Residence","Rangeville","$1,000-$1,249 ($52,000-$64,999)",596
"Persons Place of Usual Residence","Rangeville","$1,250-$1,499 ($65,000-$77,999)",411
"Persons Place of Usual Residence","Rangeville","$1,500-$1,749 ($78,000-$90,999)",427
"Persons Place of Usual Residence","Rangeville","$1,750-$1,999 ($91,000-$103,999)",270
"Persons Place of Usual Residence","Rangeville","$2,000-$2,999 ($104,000-$155,999)",394
"Persons Place of Usual Residence","Rangeville","$3,000 or more ($156,000 or more)",220
"Persons Place of Usual Residence","Rangeville","Not stated",565
"Persons Place of Usual Residence","Rangeville","Not applicable",1589
"Persons Place of Usual Residence","Rangeville","Total",8309
"Persons Place of Usual Residence","Toowoomba - Central","Negative income",65
"Persons Place of Usual Residence","Toowoomba - Central","Nil income",703
"Persons Place of Usual Residence","Toowoomba - Central","$1-$149 ($1-$7,799)",420
"Persons Place of Usual Residence","Toowoomba - Central","$150-$299 ($7,800-$15,599)",765
"Persons Place of Usual Residence","Toowoomba - Central","$300-$399 ($15,600-$20,799)",1023
"Persons Place of Usual Residence","Toowoomba - Central","$400-$499 ($20,800-$25,999)",1234
"Persons Place of Usual Residence","Toowoomba - Central","$500-$649 ($26,000-$33,799)",1015
"Persons Place of Usual Residence","Toowoomba - Central","$650-$799 ($33,800-$41,599)",1003
"Persons Place of Usual Residence","Toowoomba - Central","$800-$999 ($41,600-$51,999)",968
"Persons Place of Usual Residence","Toowoomba - Central","$1,000-$1,249 ($52,000-$64,999)",964
"Persons Place of Usual Residence","Toowoomba - Central","$1,250-$1,499 ($65,000-$77,999)",561
"Persons Place of Usual Residence","Toowoomba - Central","$1,500-$1,749 ($78,000-$90,999)",497
"Persons Place of Usual Residence","Toowoomba - Central","$1,750-$1,999 ($91,000-$103,999)",319
"Persons Place of Usual Residence","Toowoomba - Central","$2,000-$2,999 ($104,000-$155,999)",341
"Persons Place of Usual Residence","Toowoomba - Central","$3,000 or more ($156,000 or more)",129
"Persons Place of Usual Residence","Toowoomba - Central","Not stated",1103
"Persons Place of Usual Residence","Toowoomba - Central","Not applicable",2264
"Persons Place of Usual Residence","Toowoomba - Central","Total",13375
"Persons Place of Usual Residence","Toowoomba - East","Negative income",22
"Persons Place of Usual Residence","Toowoomba - East","Nil income",505
"Persons Place of Usual Residence","Toowoomba - East","$1-$149 ($1-$7,799)",335
"Persons Place of Usual Residence","Toowoomba - East","$150-$299 ($7,800-$15,599)",428
"Persons Place of Usual Residence","Toowoomba - East","$300-$399 ($15,600-$20,799)",457
"Persons Place of Usual Residence","Toowoomba - East","$400-$499 ($20,800-$25,999)",589
"Persons Place of Usual Residence","Toowoomba - East","$500-$649 ($26,000-$33,799)",587
"Persons Place of Usual Residence","Toowoomba - East","$650-$799 ($33,800-$41,599)",570
"Persons Place of Usual Residence","Toowoomba - East","$800-$999 ($41,600-$51,999)",602
"Persons Place of Usual Residence","Toowoomba - East","$1,000-$1,249 ($52,000-$64,999)",667
"Persons Place of Usual Residence","Toowoomba - East","$1,250-$1,499 ($65,000-$77,999)",487
"Persons Place of Usual Residence","Toowoomba - East","$1,500-$1,749 ($78,000-$90,999)",555
"Persons Place of Usual Residence","Toowoomba - East","$1,750-$1,999 ($91,000-$103,999)",358
"Persons Place of Usual Residence","Toowoomba - East","$2,000-$2,999 ($104,000-$155,999)",539
"Persons Place of Usual Residence","Toowoomba - East","$3,000 or more ($156,000 or more)",441
"Persons Place of Usual Residence","Toowoomba - East","Not stated",715
"Persons Place of Usual Residence","Toowoomba - East","Not applicable",1887
"Persons Place of Usual Residence","Toowoomba - East","Total",9754
"Persons Place of Usual Residence","Toowoomba - West","Negative income",35
"Persons Place of Usual Residence","Toowoomba - West","Nil income",704
"Persons Place of Usual Residence","Toowoomba - West","$1-$149 ($1-$7,799)",449
"Persons Place of Usual Residence","Toowoomba - West","$150-$299 ($7,800-$15,599)",592
"Persons Place of Usual Residence","Toowoomba - West","$300-$399 ($15,600-$20,799)",698
"Persons Place of Usual Residence","Toowoomba - West","$400-$499 ($20,800-$25,999)",660
"Persons Place of Usual Residence","Toowoomba - West","$500-$649 ($26,000-$33,799)",786
"Persons Place of Usual Residence","Toowoomba - West","$650-$799 ($33,800-$41,599)",972
"Persons Place of Usual Residence","Toowoomba - West","$800-$999 ($41,600-$51,999)",1058
"Persons Place of Usual Residence","Toowoomba - West","$1,000-$1,249 ($52,000-$64,999)",999
"Persons Place of Usual Residence","Toowoomba - West","$1,250-$1,499 ($65,000-$77,999)",678
"Persons Place of Usual Residence","Toowoomba - West","$1,500-$1,749 ($78,000-$90,999)",602
"Persons Place of Usual Residence","Toowoomba - West","$1,750-$1,999 ($91,000-$103,999)",384
"Persons Place of Usual Residence","Toowoomba - West","$2,000-$2,999 ($104,000-$155,999)",432
"Persons Place of Usual Residence","Toowoomba - West","$3,000 or more ($156,000 or more)",129
"Persons Place of Usual Residence","Toowoomba - West","Not stated",934
"Persons Place of Usual Residence","Toowoomba - West","Not applicable",2896
"Persons Place of Usual Residence","Toowoomba - West","Total",13004
"Persons Place of Usual Residence","Wilsonton","Negative income",44
"Persons Place of Usual Residence","Wilsonton","Nil income",589
"Persons Place of Usual Residence","Wilsonton","$1-$149 ($1-$7,799)",397
"Persons Place of Usual Residence","Wilsonton","$150-$299 ($7,800-$15,599)",816
"Persons Place of Usual Residence","Wilsonton","$300-$399 ($15,600-$20,799)",1311
"Persons Place of Usual Residence","Wilsonton","$400-$499 ($20,800-$25,999)",1228
"Persons Place of Usual Residence","Wilsonton","$500-$649 ($26,000-$33,799)",1099
"Persons Place of Usual Residence","Wilsonton","$650-$799 ($33,800-$41,599)",1121
"Persons Place of Usual Residence","Wilsonton","$800-$999 ($41,600-$51,999)",1041
"Persons Place of Usual Residence","Wilsonton","$1,000-$1,249 ($52,000-$64,999)",938
"Persons Place of Usual Residence","Wilsonton","$1,250-$1,499 ($65,000-$77,999)",493
"Persons Place of Usual Residence","Wilsonton","$1,500-$1,749 ($78,000-$90,999)",298
"Persons Place of Usual Residence","Wilsonton","$1,750-$1,999 ($91,000-$103,999)",179
"Persons Place of Usual Residence","Wilsonton","$2,000-$2,999 ($104,000-$155,999)",132
"Persons Place of Usual Residence","Wilsonton","$3,000 or more ($156,000 or more)",49
"Persons Place of Usual Residence","Wilsonton","Not stated",1051
"Persons Place of Usual Residence","Wilsonton","Not applicable",2520
"Persons Place of Usual Residence","Wilsonton","Total",13312
"Persons Place of Usual Residence","Ayr","Negative income",27
"Persons Place of Usual Residence","Ayr","Nil income",428
"Persons Place of Usual Residence","Ayr","$1-$149 ($1-$7,799)",288
"Persons Place of Usual Residence","Ayr","$150-$299 ($7,800-$15,599)",490
"Persons Place of Usual Residence","Ayr","$300-$399 ($15,600-$20,799)",754
"Persons Place of Usual Residence","Ayr","$400-$499 ($20,800-$25,999)",784
"Persons Place of Usual Residence","Ayr","$500-$649 ($26,000-$33,799)",771
"Persons Place of Usual Residence","Ayr","$650-$799 ($33,800-$41,599)",663
"Persons Place of Usual Residence","Ayr","$800-$999 ($41,600-$51,999)",651
"Persons Place of Usual Residence","Ayr","$1,000-$1,249 ($52,000-$64,999)",594
"Persons Place of Usual Residence","Ayr","$1,250-$1,499 ($65,000-$77,999)",400
"Persons Place of Usual Residence","Ayr","$1,500-$1,749 ($78,000-$90,999)",327
"Persons Place of Usual Residence","Ayr","$1,750-$1,999 ($91,000-$103,999)",168
"Persons Place of Usual Residence","Ayr","$2,000-$2,999 ($104,000-$155,999)",211
"Persons Place of Usual Residence","Ayr","$3,000 or more ($156,000 or more)",110
"Persons Place of Usual Residence","Ayr","Not stated",817
"Persons Place of Usual Residence","Ayr","Not applicable",1619
"Persons Place of Usual Residence","Ayr","Total",9097
"Persons Place of Usual Residence","Burdekin","Negative income",35
"Persons Place of Usual Residence","Burdekin","Nil income",412
"Persons Place of Usual Residence","Burdekin","$1-$149 ($1-$7,799)",274
"Persons Place of Usual Residence","Burdekin","$150-$299 ($7,800-$15,599)",425
"Persons Place of Usual Residence","Burdekin","$300-$399 ($15,600-$20,799)",637
"Persons Place of Usual Residence","Burdekin","$400-$499 ($20,800-$25,999)",649
"Persons Place of Usual Residence","Burdekin","$500-$649 ($26,000-$33,799)",572
"Persons Place of Usual Residence","Burdekin","$650-$799 ($33,800-$41,599)",567
"Persons Place of Usual Residence","Burdekin","$800-$999 ($41,600-$51,999)",598
"Persons Place of Usual Residence","Burdekin","$1,000-$1,249 ($52,000-$64,999)",558
"Persons Place of Usual Residence","Burdekin","$1,250-$1,499 ($65,000-$77,999)",407
"Persons Place of Usual Residence","Burdekin","$1,500-$1,749 ($78,000-$90,999)",292
"Persons Place of Usual Residence","Burdekin","$1,750-$1,999 ($91,000-$103,999)",171
"Persons Place of Usual Residence","Burdekin","$2,000-$2,999 ($104,000-$155,999)",161
"Persons Place of Usual Residence","Burdekin","$3,000 or more ($156,000 or more)",98
"Persons Place of Usual Residence","Burdekin","Not stated",653
"Persons Place of Usual Residence","Burdekin","Not applicable",1406
"Persons Place of Usual Residence","Burdekin","Total",7916
"Persons Place of Usual Residence","Charters Towers","Negative income",36
"Persons Place of Usual Residence","Charters Towers","Nil income",571
"Persons Place of Usual Residence","Charters Towers","$1-$149 ($1-$7,799)",266
"Persons Place of Usual Residence","Charters Towers","$150-$299 ($7,800-$15,599)",471
"Persons Place of Usual Residence","Charters Towers","$300-$399 ($15,600-$20,799)",689
"Persons Place of Usual Residence","Charters Towers","$400-$499 ($20,800-$25,999)",726
"Persons Place of Usual Residence","Charters Towers","$500-$649 ($26,000-$33,799)",490
"Persons Place of Usual Residence","Charters Towers","$650-$799 ($33,800-$41,599)",452
"Persons Place of Usual Residence","Charters Towers","$800-$999 ($41,600-$51,999)",418
"Persons Place of Usual Residence","Charters Towers","$1,000-$1,249 ($52,000-$64,999)",419
"Persons Place of Usual Residence","Charters Towers","$1,250-$1,499 ($65,000-$77,999)",298
"Persons Place of Usual Residence","Charters Towers","$1,500-$1,749 ($78,000-$90,999)",274
"Persons Place of Usual Residence","Charters Towers","$1,750-$1,999 ($91,000-$103,999)",143
"Persons Place of Usual Residence","Charters Towers","$2,000-$2,999 ($104,000-$155,999)",244
"Persons Place of Usual Residence","Charters Towers","$3,000 or more ($156,000 or more)",81
"Persons Place of Usual Residence","Charters Towers","Not stated",789
"Persons Place of Usual Residence","Charters Towers","Not applicable",1761
"Persons Place of Usual Residence","Charters Towers","Total",8126
"Persons Place of Usual Residence","Dalrymple","Negative income",58
"Persons Place of Usual Residence","Dalrymple","Nil income",226
"Persons Place of Usual Residence","Dalrymple","$1-$149 ($1-$7,799)",125
"Persons Place of Usual Residence","Dalrymple","$150-$299 ($7,800-$15,599)",237
"Persons Place of Usual Residence","Dalrymple","$300-$399 ($15,600-$20,799)",276
"Persons Place of Usual Residence","Dalrymple","$400-$499 ($20,800-$25,999)",262
"Persons Place of Usual Residence","Dalrymple","$500-$649 ($26,000-$33,799)",243
"Persons Place of Usual Residence","Dalrymple","$650-$799 ($33,800-$41,599)",233
"Persons Place of Usual Residence","Dalrymple","$800-$999 ($41,600-$51,999)",218
"Persons Place of Usual Residence","Dalrymple","$1,000-$1,249 ($52,000-$64,999)",183
"Persons Place of Usual Residence","Dalrymple","$1,250-$1,499 ($65,000-$77,999)",111
"Persons Place of Usual Residence","Dalrymple","$1,500-$1,749 ($78,000-$90,999)",110
"Persons Place of Usual Residence","Dalrymple","$1,750-$1,999 ($91,000-$103,999)",77
"Persons Place of Usual Residence","Dalrymple","$2,000-$2,999 ($104,000-$155,999)",112
"Persons Place of Usual Residence","Dalrymple","$3,000 or more ($156,000 or more)",62
"Persons Place of Usual Residence","Dalrymple","Not stated",435
"Persons Place of Usual Residence","Dalrymple","Not applicable",794
"Persons Place of Usual Residence","Dalrymple","Total",3755
"Persons Place of Usual Residence","Ingham","Negative income",14
"Persons Place of Usual Residence","Ingham","Nil income",192
"Persons Place of Usual Residence","Ingham","$1-$149 ($1-$7,799)",131
"Persons Place of Usual Residence","Ingham","$150-$299 ($7,800-$15,599)",326
"Persons Place of Usual Residence","Ingham","$300-$399 ($15,600-$20,799)",473
"Persons Place of Usual Residence","Ingham","$400-$499 ($20,800-$25,999)",491
"Persons Place of Usual Residence","Ingham","$500-$649 ($26,000-$33,799)",363
"Persons Place of Usual Residence","Ingham","$650-$799 ($33,800-$41,599)",315
"Persons Place of Usual Residence","Ingham","$800-$999 ($41,600-$51,999)",276
"Persons Place of Usual Residence","Ingham","$1,000-$1,249 ($52,000-$64,999)",258
"Persons Place of Usual Residence","Ingham","$1,250-$1,499 ($65,000-$77,999)",151
"Persons Place of Usual Residence","Ingham","$1,500-$1,749 ($78,000-$90,999)",124
"Persons Place of Usual Residence","Ingham","$1,750-$1,999 ($91,000-$103,999)",63
"Persons Place of Usual Residence","Ingham","$2,000-$2,999 ($104,000-$155,999)",70
"Persons Place of Usual Residence","Ingham","$3,000 or more ($156,000 or more)",45
"Persons Place of Usual Residence","Ingham","Not stated",442
"Persons Place of Usual Residence","Ingham","Not applicable",702
"Persons Place of Usual Residence","Ingham","Total",4428
"Persons Place of Usual Residence","Ingham Region","Negative income",40
"Persons Place of Usual Residence","Ingham Region","Nil income",365
"Persons Place of Usual Residence","Ingham Region","$1-$149 ($1-$7,799)",245
"Persons Place of Usual Residence","Ingham Region","$150-$299 ($7,800-$15,599)",426
"Persons Place of Usual Residence","Ingham Region","$300-$399 ($15,600-$20,799)",608
"Persons Place of Usual Residence","Ingham Region","$400-$499 ($20,800-$25,999)",550
"Persons Place of Usual Residence","Ingham Region","$500-$649 ($26,000-$33,799)",468
"Persons Place of Usual Residence","Ingham Region","$650-$799 ($33,800-$41,599)",471
"Persons Place of Usual Residence","Ingham Region","$800-$999 ($41,600-$51,999)",454
"Persons Place of Usual Residence","Ingham Region","$1,000-$1,249 ($52,000-$64,999)",391
"Persons Place of Usual Residence","Ingham Region","$1,250-$1,499 ($65,000-$77,999)",281
"Persons Place of Usual Residence","Ingham Region","$1,500-$1,749 ($78,000-$90,999)",235
"Persons Place of Usual Residence","Ingham Region","$1,750-$1,999 ($91,000-$103,999)",135
"Persons Place of Usual Residence","Ingham Region","$2,000-$2,999 ($104,000-$155,999)",121
"Persons Place of Usual Residence","Ingham Region","$3,000 or more ($156,000 or more)",80
"Persons Place of Usual Residence","Ingham Region","Not stated",576
"Persons Place of Usual Residence","Ingham Region","Not applicable",1006
"Persons Place of Usual Residence","Ingham Region","Total",6454
"Persons Place of Usual Residence","Palm Island","Negative income",4
"Persons Place of Usual Residence","Palm Island","Nil income",111
"Persons Place of Usual Residence","Palm Island","$1-$149 ($1-$7,799)",73
"Persons Place of Usual Residence","Palm Island","$150-$299 ($7,800-$15,599)",601
"Persons Place of Usual Residence","Palm Island","$300-$399 ($15,600-$20,799)",211
"Persons Place of Usual Residence","Palm Island","$400-$499 ($20,800-$25,999)",108
"Persons Place of Usual Residence","Palm Island","$500-$649 ($26,000-$33,799)",128
"Persons Place of Usual Residence","Palm Island","$650-$799 ($33,800-$41,599)",112
"Persons Place of Usual Residence","Palm Island","$800-$999 ($41,600-$51,999)",96
"Persons Place of Usual Residence","Palm Island","$1,000-$1,249 ($52,000-$64,999)",49
"Persons Place of Usual Residence","Palm Island","$1,250-$1,499 ($65,000-$77,999)",37
"Persons Place of Usual Residence","Palm Island","$1,500-$1,749 ($78,000-$90,999)",27
"Persons Place of Usual Residence","Palm Island","$1,750-$1,999 ($91,000-$103,999)",11
"Persons Place of Usual Residence","Palm Island","$2,000-$2,999 ($104,000-$155,999)",20
"Persons Place of Usual Residence","Palm Island","$3,000 or more ($156,000 or more)",6
"Persons Place of Usual Residence","Palm Island","Not stated",74
"Persons Place of Usual Residence","Palm Island","Not applicable",783
"Persons Place of Usual Residence","Palm Island","Total",2443
"Persons Place of Usual Residence","Aitkenvale","Negative income",19
"Persons Place of Usual Residence","Aitkenvale","Nil income",285
"Persons Place of Usual Residence","Aitkenvale","$1-$149 ($1-$7,799)",181
"Persons Place of Usual Residence","Aitkenvale","$150-$299 ($7,800-$15,599)",379
"Persons Place of Usual Residence","Aitkenvale","$300-$399 ($15,600-$20,799)",360
"Persons Place of Usual Residence","Aitkenvale","$400-$499 ($20,800-$25,999)",361
"Persons Place of Usual Residence","Aitkenvale","$500-$649 ($26,000-$33,799)",345
"Persons Place of Usual Residence","Aitkenvale","$650-$799 ($33,800-$41,599)",284
"Persons Place of Usual Residence","Aitkenvale","$800-$999 ($41,600-$51,999)",317
"Persons Place of Usual Residence","Aitkenvale","$1,000-$1,249 ($52,000-$64,999)",308
"Persons Place of Usual Residence","Aitkenvale","$1,250-$1,499 ($65,000-$77,999)",212
"Persons Place of Usual Residence","Aitkenvale","$1,500-$1,749 ($78,000-$90,999)",179
"Persons Place of Usual Residence","Aitkenvale","$1,750-$1,999 ($91,000-$103,999)",113
"Persons Place of Usual Residence","Aitkenvale","$2,000-$2,999 ($104,000-$155,999)",143
"Persons Place of Usual Residence","Aitkenvale","$3,000 or more ($156,000 or more)",44
"Persons Place of Usual Residence","Aitkenvale","Not stated",326
"Persons Place of Usual Residence","Aitkenvale","Not applicable",934
"Persons Place of Usual Residence","Aitkenvale","Total",4792
"Persons Place of Usual Residence","Annandale","Negative income",25
"Persons Place of Usual Residence","Annandale","Nil income",664
"Persons Place of Usual Residence","Annandale","$1-$149 ($1-$7,799)",399
"Persons Place of Usual Residence","Annandale","$150-$299 ($7,800-$15,599)",417
"Persons Place of Usual Residence","Annandale","$300-$399 ($15,600-$20,799)",519
"Persons Place of Usual Residence","Annandale","$400-$499 ($20,800-$25,999)",401
"Persons Place of Usual Residence","Annandale","$500-$649 ($26,000-$33,799)",459
"Persons Place of Usual Residence","Annandale","$650-$799 ($33,800-$41,599)",528
"Persons Place of Usual Residence","Annandale","$800-$999 ($41,600-$51,999)",770
"Persons Place of Usual Residence","Annandale","$1,000-$1,249 ($52,000-$64,999)",881
